Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,51.70932545330368,4.714751643433388,51.70932545330368,(0.21470927383224314 * ((((-0.11128163714317973 / X1 ) / (0.21470927383224314 + X1 )) / -0.15228475963938348) - (X1  / (-0.8634585480069803 + (-0.5279028526818745 * -0.8634585480069803))))),(0.21470927383224314 * ((((-0.11128163714317973 / X1 ) / (0.21470927383224314 + X1 )) / -0.15228475963938348) - (X1  / -0.4076363173415461)))
1,16.661816856006112,4.714751643433388,16.661816856006112,(0.21470927383224314 * ((((-0.11128163714317973 / X1 ) / (0.21470927383224314 + X1 )) / -0.15228475963938348) - (X1  / (-0.8634585480069803 + (-0.5279028526818745 * -0.8634585480069803))))),(0.21470927383224314 * ((((-0.11128163714317973 / X1 ) / (0.21470927383224314 + X1 )) / -0.15228475963938348) - (X1  / -0.4076363173415461)))
2,12.145244573276324,4.714751643433388,12.145244573276324,(0.21470927383224314 * ((((-0.11128163714317973 / X1 ) / (0.21470927383224314 + X1 )) / -0.15228475963938348) - (X1  / (-0.8634585480069803 + (-0.5279028526818745 * -0.8634585480069803))))),(0.21470927383224314 * ((((-0.11128163714317973 / X1 ) / (0.21470927383224314 + X1 )) / -0.15228475963938348) - (X1  / -0.4076363173415461)))
3,10.4491463455857,4.148127998757244,10.4491463455857,(((0.49642778428025736 / X1 ) - (-0.15228475963938348 / 0.21470927383224314)) - ((-0.11128163714317973 / ((-0.4261876418307411 / X1 ) - -0.11128163714317973)) * ((0.5629365373867328 / -0.8634585480069803) + (-0.8634585480069803 + X1 )))),(((0.49642778428025736 / X1 ) - -0.7092602798254851) - ((-0.11128163714317973 / ((-0.4261876418307411 / X1 ) - -0.11128163714317973)) * (-0.6519554860926363 + (-0.8634585480069803 + X1 ))))
4,9.979981329701703,3.6939773362173436,9.979981329701703,((0.49642778428025736 + X1 ) / (((X1  * ((((-0.5279028526818745 - X1 ) + -0.15228475963938348) * -0.5157155418815338) + 0.49642778428025736)) / ((-0.8634585480069803 * -0.4261876418307411) / (-0.15228475963938348 / -0.5279028526818745))) + 0.95466855410222)),((0.49642778428025736 + X1 ) / (((X1  * ((((-0.5279028526818745 - X1 ) + -0.15228475963938348) * -0.5157155418815338) + 0.49642778428025736)) / 1.2756746114408222) + 0.95466855410222))
5,9.747559968413556,3.6939773362173436,9.747559968413556,((0.49642778428025736 + X1 ) / (((X1  * ((((-0.5279028526818745 - X1 ) + -0.15228475963938348) * -0.5157155418815338) + 0.49642778428025736)) / ((-0.8634585480069803 * -0.4261876418307411) / (-0.15228475963938348 / -0.5279028526818745))) + 0.95466855410222)),((0.49642778428025736 + X1 ) / (((X1  * ((((-0.5279028526818745 - X1 ) + -0.15228475963938348) * -0.5157155418815338) + 0.49642778428025736)) / 1.2756746114408222) + 0.95466855410222))
6,9.368435748615267,3.471942659423687,9.368435748615267,((((-0.5157155418815338 - X1 ) * (((0.49642778428025736 * -0.11128163714317973) / -0.5157155418815338) + (0.49642778428025736 - (0.5629365373867328 * (0.5629365373867328 * X1 ))))) + ((0.5629365373867328 / X1 ) - -0.8634585480069803)) / X1 ),((((-0.5157155418815338 - X1 ) * (0.10711970470488238 + (0.49642778428025736 - (0.5629365373867328 * (0.5629365373867328 * X1 ))))) + ((0.5629365373867328 / X1 ) - -0.8634585480069803)) / X1 )
7,8.933694428324143,3.471942659423687,8.933694428324143,((((-0.5157155418815338 - X1 ) * (((0.49642778428025736 * -0.11128163714317973) / -0.5157155418815338) + (0.49642778428025736 - (0.5629365373867328 * (0.5629365373867328 * X1 ))))) + ((0.5629365373867328 / X1 ) - -0.8634585480069803)) / X1 ),((((-0.5157155418815338 - X1 ) * (0.10711970470488238 + (0.49642778428025736 - (0.5629365373867328 * (0.5629365373867328 * X1 ))))) + ((0.5629365373867328 / X1 ) - -0.8634585480069803)) / X1 )
8,8.768939065045947,3.201748048980991,8.768939065045947,((0.95466855410222 / X1 ) - (((((-0.5279028526818745 - 0.49642778428025736) + ((0.95466855410222 - -0.5279028526818745) / (((0.95466855410222 / 0.49642778428025736) / ((((-0.5157155418815338 + -0.4261876418307411) + 0.5629365373867328) - (-0.8634585480069803 / X1 )) / X1 )) + X1 ))) * 0.5629365373867328) - (0.21470927383224314 - X1 )) * (((0.5629365373867328 - -0.11128163714317973) * -0.5157155418815338) * 0.49642778428025736))),((0.95466855410222 / X1 ) - ((((-1.024330636962132 + (1.4825714067840945 / ((1.9230763956661694 / ((-0.3789666463255421 - (-0.8634585480069803 / X1 )) / X1 )) + X1 ))) * 0.5629365373867328) - (0.21470927383224314 - X1 )) * -0.1726103190909957))
9,8.580951537712853,3.180125489976062,8.580951537712853,(((0.5629365373867328 * X1 ) + 0.49642778428025736) + ((((0.21470927383224314 / (0.49642778428025736 + (X1  * -0.15228475963938348))) * (0.49642778428025736 - (((0.21470927383224314 - (0.5629365373867328 + (0.5629365373867328 * X1 ))) * (-0.5157155418815338 - 0.95466855410222)) * -0.8634585480069803))) * -0.5279028526818745) - (-0.5279028526818745 / X1 ))),(((0.5629365373867328 * X1 ) + 0.49642778428025736) + ((((0.21470927383224314 / (0.49642778428025736 + (X1  * -0.15228475963938348))) * (0.49642778428025736 - (((0.21470927383224314 - (0.5629365373867328 + (0.5629365373867328 * X1 ))) * -1.4703840959837537) * -0.8634585480069803))) * -0.5279028526818745) - (-0.5279028526818745 / X1 )))
